Comparison,MAP@10_mean_comp,nDCG@10_mean_comp,Precision@10_mean_comp,Recall@10_mean_comp,FScore@10_mean_comp,MAP@10 t_p,MAP@10 w_p,nDCG@10 t_p,nDCG@10 w_p,Precision@10 t_p,Precision@10 w_p,Recall@10 t_p,Recall@10 w_p,FScore@10 t_p,FScore@10 w_p,Improved,MAP_diff,nDCG_diff,Precision_diff,Recall_diff,FScore_diff
tfidf_plain vs tfidf_rerank_expand,0.328,0.4842,0.2964,0.4279,0.3024,0.2129,0.2019,0.9645,0.2914,0.5405,0.5281,0.6392,0.7045,0.5418,0.653,True,0.009232277444705561,0.00037917021460426303,0.003999999999999948,0.004434018304731113,0.003996111964531424
tfidf_plain vs bm25_rerank_expand_spell,0.3363,0.4955,0.292,0.4253,0.2984,0.0354,0.0095,0.2092,0.0625,0.9453,0.7672,0.8286,0.9326,0.9982,0.9019,True,0.017547048367058615,0.011608009800508301,-0.000444444444444414,0.0018660454266838933,-1.4462136558812677e-05
tfidf_plain vs bm25_rerank,0.3329,0.494,0.2902,0.4205,0.2961,0.0885,0.0045,0.2602,0.0329,0.7252,0.4191,0.7333,0.9276,0.7062,0.9832,True,0.01416054905524855,0.010125018991330614,-0.002222222222222181,-0.0029372514942600514,-0.0023774489010594535
tfidf_plain vs tfidf_rerank,0.328,0.4842,0.2964,0.4279,0.3024,0.2129,0.2019,0.9645,0.2914,0.5405,0.5281,0.6392,0.7045,0.5418,0.653,True,0.009232277444705561,0.00037917021460426303,0.003999999999999948,0.004434018304731113,0.003996111964531424
tfidf_plain vs bm25_rerank_spell,0.3363,0.4955,0.292,0.4253,0.2984,0.0354,0.0095,0.2092,0.0625,0.9453,0.7672,0.8286,0.9326,0.9982,0.9019,True,0.017547048367058615,0.011608009800508301,-0.000444444444444414,0.0018660454266838933,-1.4462136558812677e-05
tfidf_plain vs tfidf_rerank_expand_spell,0.3233,0.4767,0.2916,0.4231,0.2976,0.5497,0.5266,0.4091,0.9544,0.8976,0.9815,0.9715,0.835,0.8985,0.9745,True,0.0045537248302192634,-0.0071642581344547596,-0.000888888888888939,-0.0003476961318852334,-0.0008820972909069358
tfidf_plain vs bm25_spell,0.3362,0.4949,0.2916,0.4249,0.298,0.0379,0.0102,0.2333,0.0675,0.8926,0.7529,0.8716,0.9301,0.9448,0.929,True,0.017485133919562246,0.011049758094877182,-0.000888888888888939,0.00141112997176851,-0.00045197904425070545
tfidf_plain vs bm25_plain,0.3326,0.4935,0.2898,0.4202,0.2956,0.0975,0.0054,0.2826,0.0363,0.6754,0.3996,0.7044,0.8737,0.6595,0.9186,True,0.013800400882251429,0.009691858140095322,-0.0026666666666666505,-0.003279131836140481,-0.0027967361127994583
tfidf_plain vs bm25_rerank_expand,0.3329,0.494,0.2902,0.4205,0.2961,0.0885,0.0045,0.2602,0.0329,0.7252,0.4191,0.7333,0.9276,0.7062,0.9832,True,0.01416054905524855,0.010125018991330614,-0.002222222222222181,-0.0029372514942600514,-0.0023774489010594535
tfidf_plain vs bm25_expand,0.3326,0.4935,0.2898,0.4202,0.2956,0.0975,0.0054,0.2826,0.0363,0.6754,0.3996,0.7044,0.8737,0.6595,0.9186,True,0.013800400882251429,0.009691858140095322,-0.0026666666666666505,-0.003279131836140481,-0.0027967361127994583
tfidf_plain vs tfidf_rerank_spell,0.3233,0.4767,0.2916,0.4231,0.2976,0.5497,0.5266,0.4091,0.9544,0.8976,0.9815,0.9715,0.835,0.8985,0.9745,True,0.0045537248302192634,-0.0071642581344547596,-0.000888888888888939,-0.0003476961318852334,-0.0008820972909069358
tfidf_plain vs bm25_expand_spell,0.3362,0.4949,0.2916,0.4249,0.298,0.0379,0.0102,0.2333,0.0675,0.8926,0.7529,0.8716,0.9301,0.9448,0.929,True,0.017485133919562246,0.011049758094877182,-0.000888888888888939,0.00141112997176851,-0.00045197904425070545
