model,rerank,expand,spell,runtime_sec,mean_MAP@10
tfidf,False,False,False,0.26,0.3188
tfidf,False,False,True,0.27,0.3143
tfidf,False,True,False,0.27,0.3188
tfidf,False,True,True,0.27,0.3143
tfidf,True,False,False,2.89,0.328
tfidf,True,False,True,2.71,0.3233
tfidf,True,True,False,2.87,0.328
tfidf,True,True,True,2.73,0.3233
lsa,False,False,False,0.44,0.2519
lsa,False,False,True,0.59,0.2468
lsa,False,True,False,0.58,0.2519
lsa,False,True,True,0.65,0.2468
lsa,True,False,False,0.72,0.2519
lsa,True,False,True,0.55,0.2468
lsa,True,True,False,0.7,0.2519
lsa,True,True,True,0.56,0.2468
bm25,False,False,False,1.57,0.3326
bm25,False,False,True,1.48,0.3362
bm25,False,True,False,1.17,0.3326
bm25,False,True,True,1.33,0.3362
bm25,True,False,False,8.94,0.3329
bm25,True,False,True,8.23,0.3363
bm25,True,True,False,8.33,0.3329
bm25,True,True,True,3.94,0.3363
